R07669	-R07669
R09366	-R09366
R09367	-R09367
R09365	-R09365
R10197	-R10197
R10196	-R10196
R09368	-R09368
R09369	-R09369
R00109	-R00109
R06996	-R06996
R06997	-R06997
R06991	-R06991
R06992	-R06992
R06993	-R06993
R00101	-R00101
R00100	-R00100
R06998	-R06998
R00104	-R00104
R00107	-R00107
R00106	-R00106
R10992	-R10992
R02857	-R02857
R10449	-R10449
R04333	-R04333
R04330	-R04330
R04338	-R04338
R12102	-R12102
R12100	-R12100
R12106	-R12106
R12107	-R12107
R12105	-R12105
R12108	-R12108
R12109	-R12109
R11716	-R11716
R11717	-R11717
R11712	-R11712
R11713	-R11713
R11711	-R11711
R11718	-R11718
R11719	-R11719
R07737	-R07737
R07736	-R07736
R07731	-R07731
R07739	-R07739
R07738	-R07738
R03027	-R03027
R03026	-R03026
R03025	-R03025
R03024	-R03024
R03023	-R03023
R08903	-R08903
R08904	-R08904
R08709	-R08709
R05284	-R05284
R05850	-R05850
R05853	-R05853
R09882	-R09882
R09881	-R09881
R09880	-R09880
R05287	-R05287
R02089	-R02089
R02087	-R02087
R02084	-R02084
R02085	-R02085
R09770	-R09770
R09773	-R09773
R09772	-R09772
R09774	-R09774
R01197	-R01197
R01199	-R01199
R04104	-R04104
R04101	-R04101
R04100	-R04100
R09087	-R09087
R09086	-R09086
R09085	-R09085
R03596	-R03596
R03592	-R03592
R03591	-R03591
R11474	-R11474
R03848	-R03848
R03845	-R03845
R03847	-R03847
R00137	-R00137
R04307	-R04307
R04303	-R04303
R03461	-R03461
R10873	-R10873
R07038	-R07038
R07039	-R07039
R07034	-R07034
R07035	-R07035
R06619	-R06619
R06618	-R06618
R06349	-R06349
R06348	-R06348
R06345	-R06345
R06344	-R06344
R06347	-R06347
R06346	-R06346
R06341	-R06341
R06340	-R06340
R06343	-R06343
R06342	-R06342
R06288	-R06288
R02509	-R02509
R02502	-R02502
R02506	-R02506
R10021	-R10021
R07691	-R07691
R11855	-R11855
R11854	-R11854
R07804	-R07804
R01698	-R01698
R03278	-R03278
R03279	-R03279
R03271	-R03271
R03276	-R03276
R03277	-R03277
R03275	-R03275
R01520	-R01520
R01521	-R01521
R01528	-R01528
