R08723	-R08723
R02557	-R02557
R00772	-R00772
R00771	-R00771
R07116	-R07116
R07113	-R07113
R02824	-R02824
R00549	-R00549
R11932	-R11932
R03018	-R03018
R08738	-R08738
R08739	-R08739
R08734	-R08734
R02050	-R02050
R08733	-R08733
R01115	-R01115
R02619	-R02619
R07060	-R07060
R02530	-R02530
R02534	-R02534
R00751	-R00751
R07393	-R07393
R02288	-R02288
R11110	-R11110
R02287	-R02287
R11111	-R11111
R01394	-R01394
R07935	-R07935
R07933	-R07933
R03222	-R03222
R04286	-R04286
R01570	-R01570
R08222	-R08222
R00434	-R00434
R10183	-R10183
R10632	-R10632
R10630	-R10630
R10631	-R10631
R00119	-R00119
R00112	-R00112
R00111	-R00111
R11329	-R11329
R11324	-R11324
R02840	-R02840
R00565	-R00565
R09099	-R09099
R03819	-R03819
R02984	-R02984
R00289	-R00289
R05549	-R05549
R07411	-R07411
R01378	-R01378
R01375	-R01375
R08967	-R08967
R08964	-R08964
R09959	-R09959
R04855	-R04855
R04854	-R04854
R09372	-R09372
R04580	-R04580
R02869	-R02869
R07396	-R07396
R04326	-R04326
R08246	-R08246
R08244	-R08244
R08245	-R08245
R08240	-R08240
R08248	-R08248
R08249	-R08249
R03058	-R03058
R00830	-R00830
R02099	-R02099
R02098	-R02098
R02094	-R02094
R02096	-R02096
R02091	-R02091
R02090	-R02090
R02093	-R02093
R04138	-R04138
R04137	-R04137
R10283	-R10283
R10281	-R10281
R10280	-R10280
R00132	-R00132
R10869	-R10869
R10868	-R10868
R02810	-R02810
R08743	-R08743
R07027	-R07027
R00139	-R00139
R01357	-R01357
R09979	-R09979
R04301	-R04301
R08261	-R08261
R08262	-R08262
R08266	-R08266
R07760	-R07760
R00471	-R00471
R00470	-R00470
R06411	-R06411
R06412	-R06412
R00076	-R00076
R03893	-R03893
R01787	-R01787
R00267	-R00267
R07951	-R07951
R03245	-R03245
R08980	-R08980
R06942	-R06942
R02326	-R02326
R02323	-R02323
R00875	-R00875
R04178	-R04178
R04170	-R04170
R04171	-R04171
R04173	-R04173
R11894	-R11894
R09030	-R09030
R01648	-R01648
R01641	-R01641
R06590	-R06590
R07235	-R07235
R02175	-R02175
R11763	-R11763
R11762	-R11762
R11764	-R11764
R00431	-R00431
R00432	-R00432
R03161	-R03161
R01454	-R01454
R04209	-R04209
R01103	-R01103
R05756	-R05756
R05755	-R05755
R02902	-R02902
R01939	-R01939
R01931	-R01931
R01807	-R01807
R01666	-R01666
R01590	-R01590
R01593	-R01593
R01595	-R01595
R01596	-R01596
R00410	-R00410
R00416	-R00416
R00418	-R00418
R11902	-R11902
R01123	-R01123
R10629	-R10629
R05733	-R05733
R05734	-R05734
R00867	-R00867
R01795	-R01795
R01793	-R01793
R03779	-R03779
R10991	-R10991
R01951	-R01951
R01954	-R01954
R01956	-R01956
R00959	-R00959
R11930	-R11930
R03973	-R03973
R02736	-R02736
R02732	-R02732
R04559	-R04559
R02670	-R02670
R08761	-R08761
R08760	-R08760
R11060	-R11060
R07484	-R07484
R07486	-R07486
R00590	-R00590
R00978	-R00978
R10159	-R10159
R02199	-R02199
R01086	-R01086
R01083	-R01083
R01082	-R01082
R09443	-R09443
R09442	-R09442
R04676	-R04676
R04671	-R04671
R04678	-R04678
R04905	-R04905
R05506	-R05506
R00369	-R00369
R11947	-R11947
R11946	-R11946
R08282	-R08282
R08283	-R08283
R08280	-R08280
R08281	-R08281
R01168	-R01168
R01166	-R01166
R05085	-R05085
R09521	-R09521
R07092	-R07092
R07094	-R07094
R07215	-R07215
R11553	-R11553
R07641	-R07641
R01993	-R01993
R01518	-R01518
R07897	-R07897
R00647	-R00647
R09955	-R09955
R05707	-R05707
R09421	-R09421
R09420	-R09420
R09423	-R09423
R09424	-R09424
R09427	-R09427
R09426	-R09426
R01205	-R01205
R01207	-R01207
R01201	-R01201
R04929	-R04929
R04928	-R04928
R05692	-R05692
R05691	-R05691
R09425	-R09425
R00344	-R00344
R07583	-R07583
R01836	-R01836
R01837	-R01837
R01830	-R01830
R01838	-R01838
R10619	-R10619
R00833	-R00833
R03595	-R03595
R08639	-R08639
R02406	-R02406
R02404	-R02404
R02405	-R02405
R02408	-R02408
R00667	-R00667
R05548	-R05548
R09409	-R09409
R01221	-R01221
R01220	-R01220
R04941	-R04941
R04942	-R04942
R02794	-R02794
R04325	-R04325
R01811	-R01811
R01814	-R01814
R01815	-R01815
R01818	-R01818
R01819	-R01819
R05048	-R05048
R05220	-R05220
R01600	-R01600
R08312	-R08312
R01602	-R01602
R00955	-R00955
R03055	-R03055
R01023	-R01023
R08193	-R08193
R03534	-R03534
R03530	-R03530
R03539	-R03539
R01870	-R01870
R01876	-R01876
R03507	-R03507
R08093	-R08093
R02216	-R02216
R01492	-R01492
R05799	-R05799
R05798	-R05798
R08359	-R08359
R04770	-R04770
R04771	-R04771
R00769	-R00769
R07080	-R07080
R08575	-R08575
R02487	-R02487
R04389	-R04389
R00835	-R00835
R08251	-R08251
R08250	-R08250
R00516	-R00516
R00517	-R00517
R00512	-R00512
R00513	-R00513
